START_LEVELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGET_TYPE,TARGET_TYPE_AS_TEXT,TARGET_LIST_NUMBER,TARGET_ID,TARGET_PART_NUMBER,CHANNEL,PARAMETER_TYPE,PARAMETER_TYPE_AS_TEXT,LEVEL,LEVEL_REFERENCE_TYPE,LEVEL_REFERENCE_TYPE_AS_TEXT,LEVEL_REFERENCE_LIST_NUMBER,LEVEL_REFERENCE_ID,FADE_TIME,DELAY_TIME,MARK_CUE,TRACK_TYPE,EFFECT,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,35,14,Blue,28,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,35,50,Indigo,43,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,36,12,Red,255,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,36,13,Green,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,36,14,Blue,28,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,36,50,Indigo,43,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,36,20675,Lime,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,1,1,Intens,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,1,12,Red,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,1,13,Green,37,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,1,14,Blue,64,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,2,1,Intens,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,2,12,Red,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,2,13,Green,37,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,2,14,Blue,64,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,3,1,Intens,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,3,12,Red,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,3,13,Green,37,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,3,14,Blue,64,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,5,1,Intens,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,5,12,Red,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,5,13,Green,37,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,5,14,Blue,64,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,6,1,Intens,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,6,12,Red,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,6,13,Green,37,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,6,14,Blue,64,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,7,1,Intens,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,7,12,Red,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,7,13,Green,37,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,7,14,Blue,64,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,9,1,Intens,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,9,12,Red,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,9,13,Green,37,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,9,14,Blue,64,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,10,1,Intens,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,10,12,Red,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,10,13,Green,37,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,10,14,Blue,64,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,11,1,Intens,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,11,12,Red,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,11,13,Green,37,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.0,,11,14,Blue,64,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,13,1,Intens,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,13,12,Red,94,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,13,13,Green,69,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,13,14,Blue,33,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,14,1,Intens,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,14,12,Red,94,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,14,13,Green,69,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,14,14,Blue,33,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,15,1,Intens,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,15,12,Red,94,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,15,13,Green,69,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,15,14,Blue,33,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,16,1,Intens,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,16,12,Red,94,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,16,13,Green,69,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,16,14,Blue,33,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,17,1,Intens,100,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,17,12,Red,94,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,17,13,Green,69,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,37,12,Red,255,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,37,13,Green,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,37,14,Blue,30,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,37,50,Indigo,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,38,12,Red,255,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,38,13,Green,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,38,14,Blue,30,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,38,50,Indigo,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,Cue,1,0.1,,39,12,Red,255,,,,,,,,,,,,,,,,,,,,,,,,,
